Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SNBM;MG0051;CRISTIANO FERREIRA VARELLA;MURIAÉ;MG;21° 7' 34'' S;42° 23' 40'' W;270 m;VFR Diurno;-;-; 12/30;1140 m;23 m;PCN 12/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1561;-;-;-;PA2020-1561;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNBR;BA0011;DOM RICARDO WEBERBERGER;BARREIRAS;BA;12° 4' 45'' S;45° 0' 34'' W;747 m;VFR Diurno/Noturno;-;-; 08/26;1600 m;30 m;PCN 35/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7059;-;-;-;PA2022-7059;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SNBS;MA0010;BALSAS;BALSAS;MA;7° 31' 31'' S;46° 3' 12'' W;289 m;VFR Diurno;-;-; 15/33;970 m;25 m;PCN 14/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2308;-;-;-;PA2015-2308;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SNBX;BA0028;BARRA;BARRA;BA;11° 4' 52'' S;43° 8' 51'' W;389 m;VFR Diurno;-;-; 06/24;1300 m;20 m;PCN 10/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0574;-;-;-;PA2016-0574;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNBZ;BA0042;PARAMIRIM;PARAMIRIM;BA;13° 29' 26'' S;42° 13' 45'' W;639 m;VFR Diurno;-;-; 18/36;1179 m;25 m;5700 kg / 0,5 MPa;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1558;-;-;-;PA2020-1558;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;Portaria n° 11.580, de 07/06/2023, revoga a medida cautelar de proibição de operações pouso, aplicada por meio da Decisão sobre Medida Cautelar nº 28/2019/GFIC/SIA, de 14 de outubro de 2019.
SNCA;MG0031;CAMPO BELO;CAMPO BELO;MG;20° 53' 33'' S;45° 20' 8'' W;970 m;VFR Diurno;-;-; 10/28;1420 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1560;-;-;-;PA2020-1560;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNCS;CE0009;CAMPOS SALES;CAMPOS SALES;CE;7° 3' 6'' S;40° 21' 30'' W;615 m;VFR Diurno/Noturno;-;-; 11/29;1200 m;30 m;PCN 17/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1022;-;-;-;PA2020-1022;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNCT;MG0056;CARATINGA;UBAPORANGA;MG;19° 43' 31'' S;42° 6' 44'' W;599 m;VFR Diurno;-;-; 02/20;1080 m;23 m;5000 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7798;-;-;-;PA2022-7798;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNCX;ES0004;COLATINA;COLATINA;ES;19° 29' 15'' S;40° 34' 46'' W;153 m;VFR Diurno/Noturno;-;-; 15/33;1300 m;30 m;PCN 8/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6743;-;-;-;PA2021-6743;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNBG;ES0005;BAIXO GUANDU - AIMORÉS;BAIXO GUANDU;ES;19° 29' 56'' S;41° 2' 31'' W;80 m;VFR Diurno;-;-; 11/29;1200 m;30 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1984;-;-;-;PA2015-1984;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2019-3182;PA2019-3182;;-
SNDC;PA0030;REDENÇÃO;REDENÇÃO;PA;8° 1' 52'' S;49° 58' 47'' W;207 m;VFR Diurno;-;-; 06/24;1350 m;30 m;PCN 7/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0561;-;-;-;PA2015-0561;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-
SNDT;MG0030;JUSCELINO KUBITSCHEK;DIAMANTINA;MG;18° 13' 56'' S;43° 39' 1'' W;1356 m;VFR Diurno/Noturno;-;-; 03/21;1700 m;30 m;PCN 14/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2328;-;-;-;PA2018-2328;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNDV;MG0015;BRIGADEIRO ANTÔNIO CABRAL;DIVINÓPOLIS;MG;20° 10' 55'' S;44° 52' 12'' W;795 m;VFR Diurno/Noturno;-;-; 17/35;1540 m;30 m;PCN 20/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0019;-;-;-;PA2016-0019;-;-;-;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SNEB;PA0018;NAGIB DEMACHKI;PARAGOMINAS;PA;3° 1' 11'' S;47° 18' 59'' W;135 m;VFR Diurno;-;-; 09/27;1450 m;30 m;PCN 30/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1291;-;-;-;PA2020-1291;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SNCZ;MG0059;PONTE NOVA;PONTE NOVA;MG;20° 24' 11'' S;42° 55' 0'' W;572 m;VFR Diurno;-;-; 07/25;1060 m;30 m;PCN 11/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3954;-;-;-;PA2021-3954;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-2418;PA2020-2418;;-
SNEE;RS0004;VACARIA NOVO;VACARIA;RS;28° 25' 55'' S;51° 1' 22'' W;914 m;VFR Diurno;-;-; 11/29;2020 m;30 m;PCN 32/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-0071;-;-;-;PA2014-0071;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNFE;MG0012;COMANDANTE PASCHOAL PATROCÍNIO FILHO;ALFENAS;MG;21° 25' 53'' S;45° 55' 56'' W;881 m;VFR Diurno/Noturno;-;-; 04/22;1600 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.094;-;-;-;PA2023-12.094;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNFO;MG0060;FORMIGA;FORMIGA;MG;20° 23' 41'' S;45° 28' 59'' W;1017 m;VFR Diurno;-;-; 02/20;1117 m;23 m;PCN 8/F/C/Y/U;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.483;-;-;-;PA2023-11.483;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNFU;MG0063;FRUTAL;FRUTAL;MG;20° 0' 17'' S;48° 57' 32'' W;549 m;VFR Diurno;-;-; 07/25;1320 m;30 m;PCN 15/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0681;-;-;-;PA2020-0681;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNFX;PA0013;SÃO FÉLIX DO XINGU;SÃO FÉLIX DO XINGU;PA;6° 38' 29'' S;51° 57' 8'' W;183 m;VFR Diurno;-;-; 14/32;1600 m;33 m;PCN 45/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5311;-;-;-;PA2021-5311;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-
SNGA;ES0007;GUARAPARI;GUARAPARI;ES;20° 38' 47'' S;40° 29' 30'' W;9 m;VFR Diurno/Noturno;-;-; 06/24;1088 m;28 m;PCN 13/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3632;-;-;-;PA2017-3632;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SNGB;PI0011;GILBUÉS;GILBUÉS;PI;9° 50' 1'' S;45° 22' 2'' W;450 m;VFR Diurno;-;-; 09/27;1000 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SNGD;PI0005;GUADALUPE;GUADALUPE;PI;6° 46' 59'' S;43° 34' 51'' W;180 m;VFR Diurno;-;-; 15/33;1485 m;30 m;PCN 9/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2978;-;-;-;PA2020-2978;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNGG;PI0007;BOM JESUS DO GURGUÉIA;BOM JESUS;PI;9° 3' 34'' S;44° 22' 9'' W;338 m;VFR Diurno;-;-; 16/34;1200 m;20 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1085;-;-;-;PA2020-1085;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNGI;BA0009;AERÓDROMO DE GUANAMBI;GUANAMBI;BA;14° 12' 29'' S;42° 44' 46'' W;553 m;VFR Diurno/Noturno;-;-; 14/32;1700 m;30 m;PCN 18/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1765;-;-;-;PA2015-1765;-;-;-;AP-1;Classe I;4ª;2C;NPA;N/A;PA2022-7043;PA2022-8883 / PA2023-12.079 / PA2023-12.080;PA2022-7043;PA2022-8883 / PA2023-12.079 / PA2023-12.080;-;-;-;;-
SNED;BA0023;SÓCRATES REZENDE;CANAVIEIRAS;BA;15° 39' 59'' S;38° 57' 19'' W;6 m;VFR Diurno;-;-; 14/32;1340 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1349;-;-;-;PA2017-1349;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;Interditado;PA2020-3384;PA2020-3384;;-
SNGX;MG0023;GUAXUPÉ;GUAXUPÉ;MG;21° 19' 36'' S;46° 43' 49'' W;849 m;VFR Diurno/Noturno;-;-; 12/30;1500 m;30 m;PCN 19/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1564;-;-;-;PA2020-1564;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNHS;PE0005;SANTA MAGALHÃES;SERRA TALHADA;PE;8° 3' 41'' S;38° 19' 43'' W;470 m;VFR Diurno/Noturno;-;-; 13/31;1800 m;30 m;PCN 31/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2109;-;-;-;PA2018-2109;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNIB;BA0045;ITABERABA;ITABERABA;BA;12° 29' 59'' S;40° 16' 13'' W;283 m;VFR Diurno;-;-; 14/32;1200 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1228;-;-;-;PA2018-1228;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNIC;BA0019;IRECÊ;IRECÊ;BA;11° 20' 24'' S;41° 50' 49'' W;784 m;VFR Diurno/Noturno;-;-; 11/29;1400 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1299;-;-;-;PA2020-1299;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SNIE;BA0020;CAETITÉ;CAETITÉ;BA;14° 0' 44'' S;42° 29' 38'' W;976 m;VFR Diurno;-;-; 09/27;1365 m;20 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-3332;-;-;-;PA2015-3332;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNIG;CE0007;IGUATU;IGUATU;CE;6° 20' 48'' S;39° 17' 40'' W;215 m;VFR Diurno/Noturno;-;-; 16/34;1422 m;30 m;PCN 16/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1023;-;-;-;PA2020-1023;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNIO;BA0010;CIPÓ;CIPÓ;BA;11° 7' 31'' S;38° 29' 13'' W;223 m;VFR Diurno;-;-; 13/31;1560 m;28 m;PCN 4/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2097;-;-;-;PA2015-2097;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNGN;PE0006;GARANHUNS;GARANHUNS;PE;8° 50' 4'' S;36° 28' 17'' W;759 m;VFR Diurno;-;-; 16/34;1259 m;28 m;PCN 6/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1372;-;-;-;PA2018-1372;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;Proibição de operações noturnas de pouso e decolagem, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2020-3753;PA2020-3753;;-
SNIP;BA0057;ITAPETINGA;ITAPETINGA;BA;15° 14' 40'' S;40° 16' 38'' W;270 m;VFR Diurno;-;-; 11/29;1400 m;29 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-2366;-;-;-;PA2014-2366;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;Portaria n° 12.173/2023 torna pública a revogação da medida cautelar de proibição de operações com aeronaves à reação, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.
SNIU;BA0030;IPIAÚ;IPIAÚ;BA;14° 10' 24'' S;39° 41' 3'' W;132 m;VFR Diurno;-;-; 15/33;1316 m;18 m;PCN 6/F/C/Z/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.344;-;-;-;PA2023-11.344;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;Portaria n° 11.445/2023 torna pública a revogação da medida cautelar de proibição de operações de pouso de aeronaves de asa fixa.
SNJB;BA0062;JACOBINA;JACOBINA;BA;11° 9' 47'' S;40° 33' 12'' W;489 m;VFR Diurno;-;-; 14/32;900 m;24 m;PCN 6/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2078;-;-;-;PA2015-2078;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDIY;BA0013;JOÃO DURVAL CARNEIRO;FEIRA DE SANTANA;BA;12° 12' 2'' S;38° 54' 23'' W;238 m;VFR Diurno/Noturno;-;-; 13/31;1500 m;30 m;PCN 30/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0627;-;-;-;PA2019-0627;-;-;-;AP-1;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SNJK;BA0047;JEQUIÉ;JEQUIÉ;BA;13° 52' 40'' S;40° 4' 17'' W;197 m;VFR Diurno;-;-; 14/32;1200 m;23 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-2695;-;-;-;PA2014-2695;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SNJM;MG0050;REGIONAL DE SANTO AMARO DE MINAS;MANHUAÇU;MG;20° 15' 35'' S;42° 11' 2'' W;829 m;VFR Diurno;-;-; 02/20;1170 m;30 m;PCN 14/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.875;-;-;-;PA2023-12.875;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNJP;MG0036;JOÃO PINHEIRO;JOÃO PINHEIRO;MG;17° 47' 15'' S;46° 7' 13'' W;911 m;VFR Diurno;-;-; 06/24;1300 m;23 m;5670 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6588;-;-;-;PA2021-6588;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNJQ;MG0053;JEQUITINHONHA;JEQUITINHONHA;MG;16° 26' 29'' S;41° 2' 14'' W;234 m;VFR Diurno;-;-; 10/28;1130 m;23 m;PCN 6/F/C/Z/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3472;-;-;-;PA2020-3472;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNJR;MG0034;PREFEITO OCTÁVIO DE ALMEIDA NEVES;SÃO JOÃO DEL REI;MG;21° 5' 8'' S;44° 13' 31'' W;945 m;VFR Diurno/Noturno;-;-; 08/26;1400 m;30 m;PCN 16/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1205;-;-;-;PA2015-1205;-;-;-;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SNIT;BA0046;IBOTIRAMA;IBOTIRAMA;BA;12° 10' 6'' S;43° 13' 21'' W;422 m;VFR Diurno;-;-; 16/34;1200 m;20 m;PCN 6/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6843;-;-;-;PA2021-6843;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2022-7273;PA2022-7273;;-
SNKF;MG0071;DAS BANDEIRINHAS;CONSELHEIRO LAFAIETE;MG;20° 44' 19'' S;43° 47' 51'' W;1057 m;VFR Diurno;-;-; 04/22;902 m;24 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8286;-;-;-;PA2022-8286;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNKI;ES0006;AERÓDROMO DE CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;ES;20° 50' 7'' S;41° 11' 11'' W;78 m;VFR Diurno/Noturno;-;-; 06/24;1200 m;30 m;PCN 14/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1473;-;-;-;PA2015-1473;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNKN;RN0004;CURRAIS NOVOS;CURRAIS NOVOS;RN;6° 16' 51'' S;36° 32' 25'' W;367 m;VFR Diurno;-;-; 10/28;1040 m;30 m;PCN 6/F/B/Y/U;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0981;-;-;-;PA2020-0981;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNKR;PI0012;CORRENTE;CORRENTE;PI;10° 27' 7'' S;45° 8' 11'' W;473 m;VFR Diurno;-;-; 11/29;1000 m;20 m;2500 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SNKD;MG0070;CONCEIÇÃO DO MATO DENTRO;CONCEIÇÃO DO MATO DENTRO;MG;19° 1' 7'' S;43° 26' 7'' W;668 m;VFR Diurno;-;-; 15/33;960 m;23 m;PCN 8/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8303;-;-;-;PA2022-8303;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2016-1321;PA2016-1321;;-
SNLN;ES0002;MUNICIPAL DE LINHARES;LINHARES;ES;19° 21' 19'' S;40° 4' 17'' W;42 m;VFR Diurno/Noturno;-;-; 06/24;1860 m;45 m;PCN 37/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7316;-;-;-;PA2022-7316;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNLO;MG0037;SÃO LOURENÇO;SÃO LOURENÇO;MG;22° 5' 27'' S;45° 2' 40'' W;875 m;VFR Diurno;-;-; 05/23;1300 m;30 m;PCN 14/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.738;-;-;-;PA2023-11.738;-;-;-;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SNLT;PI0010;PAULISTANA;PAULISTANA;PI;8° 9' 59'' S;41° 9' 14'' W;360 m;VFR Diurno;-;-; 07/25;1060 m;30 m;2500 kg / 0,5 MPa;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SNMA;PA0019;MONTE ALEGRE;MONTE ALEGRE;PA;1° 59' 48'' S;54° 4' 17'' W;99 m;VFR Diurno;-;-; 10/28;1425 m;30 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3949;-;-;-;PA2021-3949;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SNMH;GO0018;PIRENÓPOLIS;PIRENÓPOLIS;GO;15° 50' 55'' S;48° 58' 58'' W;784 m;VFR Diurno;-;-; 15/33;1294 m;30 m;PCN 18/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8421;-;-;-;PA2022-8421;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNLI;MG0040;ABAETÉ;ABAETÉ;MG;19° 9' 21'' S;45° 29' 42'' W;664 m;VFR Diurno;-;-; 17/35;1200 m;30 m;5670 kg / 0,63 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7914;-;-;-;PA2022-7914;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-0655;PA2020-0655;;-
SNMK;MG0017;MOCAMBINHO;JAÍBA;MG;15° 5' 35'' S;43° 58' 45'' W;450 m;VFR Diurno;-;-; 11/29;1531 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2078;-;-;-;PA2020-2078;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNMJ;BA0031;MARACÁS;MARACÁS;BA;13° 23' 10'' S;40° 27' 58'' W;962 m;VFR Diurno;-;-; 07/25;1300 m;20 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1386;-;-;-;PA2014-1386;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa.;PA2021-5829;PA2021-5829;;-
SNMN;MG0075;MINAS NOVAS;MINAS NOVAS;MG;17° 15' 50'' S;42° 32' 21'' W;825 m;VFR Diurno;-;-; 15/33;735 m;20 m;2500 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.170;-;-;-;PA2023-11.170;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2019-3102;PA2019-3102;;-
SNMX;ES0003;SÃO MATEUS;SÃO MATEUS;ES;18° 43' 17'' S;39° 50' 1'' W;30 m;VFR Diurno/Noturno;-;-; 08/26;1350 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2013;-;-;-;PA2015-2013;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNMR;BA0065;MARAÚ;MARAÚ;BA;14° 8' 36'' S;39° 0' 24'' W;9 m;VFR Diurno;-;-; 05/23;630 m;18 m;5000 kg / 0,5 MPa;Areia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.420;-;-;-;PA2023-11.420;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2019-3781;PA2019-3781;;-
SNNE;MG0078;SEBASTIÃO CARLOS LEITE;SÃO JOÃO NEPOMUCENO;MG;21° 32' 32'' S;43° 1' 16'' W;403 m;VFR Diurno;-;-; 11/29;620 m;40 m;3000 kg / 0,5 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0975;-;-;-;PA2020-0975;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNNU;MG0041;NANUQUE;NANUQUE;MG;17° 49' 23'' S;40° 19' 47'' W;200 m;VFR Diurno;-;-; 11/29;1220 m;23 m;PCN 13/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2331;-;-;-;PA2018-2331;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNOE;PI0008;OEIRAS;OEIRAS;PI;7° 1' 6'' S;42° 10' 2'' W;266 m;VFR Diurno;-;-; 12/30;1200 m;23 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.855;-;-;-;PA2023-12.855;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SNOS;MG0024;MUNICIPAL JOSÉ FIGUEIREDO;PASSOS;MG;20° 43' 55'' S;46° 39' 43'' W;822 m;VFR Diurno/Noturno;-;-; 15/33;1500 m;30 m;PCN 19/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.694;-;-;-;PA2023-10.694;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNOX;PA0014;ORIXIMINÁ;ORIXIMINÁ;PA;1° 42' 49'' S;55° 50' 9'' W;80 m;VFR Diurno;-;-; 17/35;1600 m;30 m;PCN 27/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0969;-;-;-;PA2020-0969;-;-;-;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
